 PVI-Measurement from: Date 16:12:19  Time 09:59:11 
                   to:      16:12:19       11:51:19 
            Condition: stopped                      
 -------------------------------------------------- 
 System :
 Temp   :
 Comment:
        :
        :
        :
        :
        :
        :
 -------------------------------------------------- 
 S-FILE   : >unnamed<                               
 RunTime  :   1h  52min  8.0  sek                   
 PotRange :  7.33146e-01V   to   7.39589e-01V       
 CurRange :  5.29124e-03A   to   6.93181e-03A       

Lines:   3365
Columns: 4

 Index        Time/s        Potential/V      Current/A   
    332        661.00000     7.39447e-01     6.40485e-03 
    333        663.00000     7.39451e-01     6.42407e-03 
    334        665.00000     7.39327e-01     6.43370e-03 
    335        667.00000     7.39465e-01     6.45497e-03 
    336        669.00000     7.39391e-01     6.47801e-03 
    337        671.00000     7.39516e-01     6.48547e-03 
    338        673.00000     7.39449e-01     6.48356e-03 
    339        675.00000     7.39368e-01     6.34530e-03 
    340        677.00000     7.39450e-01     6.30537e-03 
    341        679.00000     7.39468e-01     6.33213e-03 
    342        681.00000     7.39397e-01     6.34113e-03 
    343        683.00000     7.39419e-01     6.34870e-03 
    344        685.00000     7.39392e-01     6.37404e-03 
    345        687.00000     7.39326e-01     6.38472e-03 
    346        689.00000     7.39430e-01     6.42524e-03 
    347        691.00000     7.39410e-01     6.43125e-03 
    348        693.00000     7.39437e-01     6.45186e-03 
    349        695.00000     7.39465e-01     6.45249e-03 
    350        697.00000     7.39395e-01     6.47001e-03 
    351        699.00000     7.39354e-01     6.38464e-03 
    352        701.00000     7.39403e-01     6.34140e-03 
    353        703.00000     7.39402e-01     6.34347e-03 
    354        705.00000     7.39399e-01     6.34225e-03 
    355        707.00000     7.39524e-01     6.35805e-03 
    356        709.00000     7.39427e-01     6.34476e-03 
    357        711.00000     7.39490e-01     6.35248e-03 
    358        713.00000     7.39517e-01     6.38016e-03 
    359        715.00000     7.39456e-01     6.39875e-03 
    360        717.00000     7.39420e-01     6.40860e-03 
    361        719.00000     7.39397e-01     6.40091e-03 
    362        721.00000     7.39376e-01     6.42042e-03 
    363        723.00000     7.39468e-01     6.42567e-03 
    364        725.00000     7.39430e-01     6.34374e-03 
    365        727.00000     7.39490e-01     6.22732e-03 
    366        729.00000     7.39389e-01     6.23845e-03 
    367        731.00000     7.39495e-01     6.26033e-03 
    368        733.00000     7.39493e-01     6.25736e-03 
    369        735.00000     7.39482e-01     6.26878e-03 
    370        737.00000     7.39485e-01     6.29610e-03 
    371        739.00000     7.39408e-01     6.30738e-03 
    372        741.00000     7.39451e-01     6.31841e-03 
    373        743.00000     7.39345e-01     6.34217e-03 
    374        745.00000     7.39307e-01     6.21743e-03 
    375        747.00000     7.39404e-01     6.18410e-03 
    376        749.00000     7.39386e-01     6.20191e-03 
    377        751.00000     7.39518e-01     6.20681e-03 
    378        753.00000     7.39370e-01     6.21404e-03 
    379        755.00000     7.39480e-01     6.24520e-03 
    380        757.00000     7.39374e-01     6.26536e-03 
    381        759.00000     7.39391e-01     6.29609e-03 
    382        761.00000     7.39392e-01     6.31380e-03 
    383        763.00000     7.39410e-01     6.32966e-03 
    384        765.00000     7.39433e-01     6.36193e-03 
    385        767.00000     7.39406e-01     6.39440e-03 
    386        769.00000     7.39479e-01     6.38090e-03 
    387        771.00000     7.39494e-01     6.32117e-03 
    388        773.00000     7.39506e-01     6.26521e-03 
    389        775.00000     7.39498e-01     6.24495e-03 
    390        777.00000     7.39424e-01     6.24952e-03 
    391        779.00000     7.39393e-01     6.26132e-03 
    392        781.00000     7.39371e-01     6.22552e-03 
    393        783.00000     7.39467e-01     6.24881e-03 
    394        785.00000     7.39498e-01     6.26191e-03 
    395        787.00000     7.39423e-01     6.28094e-03 
    396        789.00000     7.39420e-01     6.30878e-03 
    397        791.00000     7.39438e-01     6.32212e-03 
    398        793.00000     7.39574e-01     6.34861e-03 
    399        795.00000     7.39435e-01     6.35229e-03 
    400        797.00000     7.39401e-01     6.32736e-03 
    401        799.00000     7.39388e-01     6.18697e-03 
    402        801.00000     7.39421e-01     6.17989e-03 
    403        803.00000     7.39513e-01     6.19090e-03 
    404        805.00000     7.39427e-01     6.18900e-03 
    405        807.00000     7.39484e-01     6.18587e-03 
    406        809.00000     7.39522e-01     6.15976e-03 
    407        811.00000     7.39539e-01     6.19254e-03 
    408        813.00000     7.39407e-01     6.21970e-03 
    409        815.00000     7.39362e-01     6.19682e-03 
    410        817.00000     7.39346e-01     6.18075e-03 
    411        819.00000     7.39448e-01     6.21164e-03 
    412        821.00000     7.39392e-01     6.20297e-03 
    413        823.00000     7.39278e-01     6.20268e-03 
    414        825.00000     7.39443e-01     6.21240e-03 
    415        827.00000     7.39454e-01     6.19976e-03 
    416        829.00000     7.39428e-01     6.20255e-03 
    417        831.00000     7.39438e-01     6.21399e-03 
    418        833.00000     7.39426e-01     6.22537e-03 
    419        835.00000     7.39463e-01     6.21488e-03 
    420        837.00000     7.39330e-01     6.22429e-03 
    421        839.00000     7.39438e-01     6.22598e-03 
    422        841.00000     7.39486e-01     6.24145e-03 
    423        843.00000     7.39460e-01     6.22318e-03 
    424        845.00000     7.39474e-01     6.13603e-03 
    425        847.00000     7.39452e-01     6.09455e-03 
    426        849.00000     7.39489e-01     6.10032e-03 
    427        851.00000     7.39512e-01     6.10123e-03 
    428        853.00000     7.39483e-01     6.12120e-03 
    429        855.00000     7.39402e-01     6.13807e-03 
    430        857.00000     7.39504e-01     6.12546e-03 
    431        859.00000     7.39356e-01     6.12658e-03 
    432        861.00000     7.39349e-01     6.13205e-03 
    433        863.00000     7.39441e-01     6.16885e-03 
    434        865.00000     7.39434e-01     6.18394e-03 
    435        867.00000     7.39373e-01     6.20936e-03 
    436        869.00000     7.39365e-01     6.21672e-03 
    437        871.00000     7.39490e-01     6.21407e-03 
    438        873.00000     7.39447e-01     6.09175e-03 
    439        875.00000     7.39342e-01     6.03905e-03 
    440        877.00000     7.39431e-01     6.05404e-03 
    441        879.00000     7.39379e-01     6.06161e-03 
    442        881.00000     7.39448e-01     6.08112e-03 
    443        883.00000     7.39400e-01     6.08628e-03 
    444        885.00000     7.39392e-01     6.08120e-03 
    445        887.00000     7.39501e-01     6.10508e-03 
    446        889.00000     7.39460e-01     6.10923e-03 
    447        891.00000     7.39423e-01     6.12215e-03 
    448        893.00000     7.39453e-01     6.12310e-03 
    449        895.00000     7.39417e-01     6.10986e-03 
    450        897.00000     7.39299e-01     6.11337e-03 
    451        899.00000     7.39434e-01     5.95991e-03 
    452        901.00000     7.39427e-01     5.92432e-03 
    453        903.00000     7.39448e-01     5.94525e-03 
    454        905.00000     7.39338e-01     5.96054e-03 
    455        907.00000     7.39394e-01     5.95757e-03 
    456        909.00000     7.39449e-01     5.98326e-03 
    457        911.00000     7.39473e-01     6.02533e-03 
    458        913.00000     7.39428e-01     6.02757e-03 
    459        915.00000     7.39424e-01     6.03584e-03 
    460        917.00000     7.39402e-01     6.06011e-03 
    461        919.00000     7.39369e-01     6.07294e-03 
    462        921.00000     7.39380e-01     6.09523e-03 
    463        923.00000     7.39505e-01     6.10143e-03 
    464        925.00000     7.39437e-01     6.07489e-03 
    465        927.00000     7.39544e-01     5.97444e-03 
    466        929.00000     7.39329e-01     5.97622e-03 
    467        931.00000     7.39490e-01     5.96449e-03 
    468        933.00000     7.39409e-01     5.97824e-03 
    469        935.00000     7.39374e-01     5.98586e-03 
    470        937.00000     7.39440e-01     5.99692e-03 
    471        939.00000     7.39433e-01     5.98928e-03 
    472        941.00000     7.39404e-01     6.00382e-03 
    473        943.00000     7.39417e-01     6.02429e-03 
    474        945.00000     7.39392e-01     6.02891e-03 
    475        947.00000     7.39414e-01     6.04493e-03 
    476        949.00000     7.39517e-01     6.05391e-03 
    477        951.00000     7.39294e-01     6.06085e-03 
    478        953.00000     7.39412e-01     6.07406e-03 
    479        955.00000     7.39390e-01     6.04446e-03 
    480        957.00000     7.39573e-01     5.88268e-03 
    481        959.00000     7.39364e-01     5.87578e-03 
    482        961.00000     7.39349e-01     5.91853e-03 
    483        963.00000     7.39413e-01     5.91615e-03 
    484        965.00000     7.39520e-01     5.92731e-03 
    485        967.00000     7.39368e-01     5.94091e-03 
    486        969.00000     7.39360e-01     5.95473e-03 
    487        971.00000     7.39371e-01     5.95651e-03 
    488        973.00000     7.39384e-01     5.97164e-03 
    489        975.00000     7.39478e-01     5.98704e-03 
    490        977.00000     7.39406e-01     5.99587e-03 
    491        979.00000     7.39488e-01     6.01379e-03 
    492        981.00000     7.39412e-01     6.01301e-03 
    493        983.00000     7.39360e-01     5.99435e-03 
    494        985.00000     7.39406e-01     5.87558e-03 
    495        987.00000     7.39516e-01     5.84622e-03 
    496        989.00000     7.39425e-01     5.82281e-03 
    497        991.00000     7.39453e-01     5.84283e-03 
    498        993.00000     7.39519e-01     5.87385e-03 
    499        995.00000     7.39390e-01     5.95354e-03 
    500        997.00000     7.39334e-01     5.95889e-03 
    501        999.00000     7.39361e-01     5.95982e-03 
    502       1001.00000     7.39344e-01     5.96019e-03 
    503       1003.00000     7.39467e-01     5.97237e-03 
    504       1005.00000     7.39569e-01     5.93802e-03 
    505       1007.00000     7.39395e-01     5.81542e-03 
    506       1009.00000     7.39396e-01     5.80292e-03 
    507       1011.00000     7.39461e-01     5.79950e-03 
    508       1013.00000     7.39459e-01     5.81523e-03 
    509       1015.00000     7.39397e-01     5.83496e-03 
    510       1017.00000     7.39454e-01     5.84599e-03 
    511       1019.00000     7.39418e-01     5.83201e-03 
    512       1021.00000     7.39400e-01     5.84271e-03 
